EA,EM,NE,NO,NT,NW,SC,SE,SO,SW,WM,WN,WS
1720.366892,2201.30916,1872.778196,1553.571646,2173.199214,2483.532953,2416.051387,2184.528241,1188.803593,1387.972639,1551.853817,311.1494361,1515.02711
2834.942073,3529.734158,1686.65862,1423.80178,3617.692106,3795.551986,2090.684907,3584.633125,2189.143178,1329.97423,2606.27496,432.7934621,1418.266553
4803.922562,5581.479984,3270.166844,2669.952148,5380.220957,6196.876856,4089.324619,6630.651063,4497.821227,3149.686997,4346.999691,478.1016749,2127.976785
5375.235748,6497.027323,3863.716881,3280.650792,6149.155959,7485.872582,4922.220742,7084.304458,4907.095462,3634.773724,5188.741536,645.5979075,2538.145239
4272.6062,5287.473746,3264.66032,2818.778112,5077.797384,6527.930072,4329.245738,5653.422571,3751.196788,2834.383767,4279.119047,570.7396264,2315.163914
3288.641506,4191.832469,2608.434982,2274.847946,4053.069487,5561.037573,3694.189372,4505.860364,2771.666008,2160.276072,3463.25425,469.9698783,2004.741066
2812.088956,3624.78352,2340.787257,2036.287871,3626.362295,5047.37343,3238.157655,3902.807367,2359.408438,1790.013749,3147.879632,403.1410293,1807.099547
2778.867203,3791.510207,2380.659485,2039.889964,3540.147496,5005.80055,3109.661375,3772.592973,2401.734323,1705.539434,3160.745235,384.8423874,1689.404849
2982.834388,3875.293583,2427.733403,1931.620724,3802.388767,4896.666992,3044.771175,4010.32575,2529.06245,1733.810291,3124.82269,383.9714451,1677.32269
3079.772637,3759.606262,2288.543824,1862.181396,3798.635242,4787.096493,2975.782424,4041.965088,2372.470653,1644.091796,3066.819768,354.899024,1698.90191
3174.662637,3878.498661,2326.806687,1985.776041,3849.774898,4862.465761,3195.41861,4001.062289,2457.212181,1673.291944,3129.211892,366.6683659,1922.619547
3960.211912,5151.468845,3224.180204,2766.036909,4528.68034,6119.166427,4128.758011,5026.199985,3255.40811,2321.29378,4029.771984,503.4835231,2368.07359
5297.738065,7116.36024,4059.888969,3577.778338,5812.791264,7960.833336,5137.533525,6687.551648,4809.350259,3784.878269,5480.971083,703.5135545,3088.561185
5826.534096,7672.870939,4418.407527,3767.705568,6506.83378,8786.120685,5684.617308,7646.861812,5340.737907,4391.095211,6030.550779,807.4534335,3421.601038
5956.971325,7774.245381,4579.484485,3937.908935,6866.15061,9041.241724,5900.109568,7828.650369,5313.103837,4414.079359,6140.869286,849.4239139,3493.540092
5568.469876,7164.847722,4692.865872,3609.420031,6646.08824,8428.763279,5565.747559,7267.102165,4879.857561,3932.795213,5764.198893,781.0125573,3114.409742
5052.111726,6407.114982,3788.495259,3168.857078,6202.491609,7569.887501,5088.11922,6658.243704,4390.778771,3493.259571,5149.675008,677.0663671,2617.283776
4228.20318,5124.638706,3015.993904,2503.927513,5378.492802,6255.642513,4258.193082,5581.977664,3633.834578,2817.994689,4230.351384,539.1184204,2111.536213
2905.869359,3535.60616,2012.138171,1645.255614,3963.509026,4277.348866,3077.530781,3822.444661,2426.3216,1792.341434,2797.459922,366.6329598,1537.185949
1491.518945,1803.217111,1077.055511,930.053061,2132.789915,2413.832912,1945.936221,2346.93783,1418.78448,931.8741612,1281.51152,206.8604612,1109.496767
1111.794782,1391.912246,1543.4493,1282.796763,1640.381161,1793.686983,1447.831637,1882.633769,1192.794954,733.7720135,889.6675184,259.8117425,1214.990151
1033.308295,2295.630263,1499.396406,1258.694433,1369.441525,2687.153467,1325.787122,1830.13176,1178.665945,705.8717939,1588.196826,254.2673987,1202.229312
1832.211354,2280.533415,1564.978899,1274.636734,1239.164908,2781.175715,1258.132841,1858.354048,1206.055052,687.0230046,1645.418287,282.0278095,1284.385031
1962.151208,2456.751041,1643.027552,1317.245199,1403.305588,3003.813138,2282.10336,1868.944215,1186.637812,1298.290622,1772.464791,306.3990451,1423.085944
2410.594713,3099.449173,2045.313442,1670.84512,1508.92295,3647.146999,1569.498757,2436.740703,1564.937626,851.0000927,2171.464995,359.3890657,1726.284589
2197.505893,2872.232493,1914.05386,1573.713681,2814.364284,3176.259123,2236.364076,4122.727759,2577.958773,1564.505098,2114.498604,484.8222562,1922.805884
5374.689208,6261.406169,3556.752217,2811.885088,6138.55367,6432.169866,4360.482999,7270.119782,5173.687582,3504.831743,4892.762622,522.5624805,2886.202998
6240.802807,7506.444701,4285.202521,3464.7576,7057.956446,7846.965779,5259.428288,8127.452341,5873.115193,4183.896858,5901.274586,694.5319309,3433.053181
5198.64383,6410.756004,3666.213152,3057.117838,6058.780459,6941.155132,4652.291973,6598.264581,4783.48167,3352.06506,5083.552389,628.1904859,3170.979294
4063.199842,5554.000879,3004.775278,2628.931512,4815.804399,5918.302726,3895.78046,5240.332308,3677.219125,2509.828837,4244.759441,504.8570723,2903.541068
3529.877428,4290.814378,2700.020592,2282.323633,4341.265308,5340.386242,3445.182431,4521.050147,3153.756577,2161.801041,3847.258967,450.9430578,2809.130284
3373.247295,4651.995425,2703.719353,2212.847062,4218.778782,5267.942764,3369.595157,4266.028279,2936.252828,2116.859418,3847.881902,433.1771657,2705.290593
